; CSV, generated by libsigrok4DSL 0.2.0 on Sun Feb 09 16:38:57 2020
; Channels (1/16)
; Sample rate: 100 kHz
; Sample count: 100.352 K Samples
Time(s), 2
0,1
0.00066,0
0.00067,1
0.00069,0
0.0007,1
0.00071,0
0.00072,1
0.00074,0
0.00075,1
0.00076,0
0.00077,1
0.00079,0
0.0008,1
0.00081,0
0.00082,1
0.00084,0
0.00085,1
0.00086,0
0.00087,1
0.00089,0
0.0009,1
0.00091,0
0.00092,1
0.00094,0
0.00095,1
0.00096,0
0.00097,1
0.00099,0
0.001,1
0.00101,0
0.00102,1
0.00104,0
0.00105,1
0.00106,0
0.00107,1
0.00109,0
0.0011,1
0.00111,0
0.00112,1
0.00114,0
0.00115,1
0.00116,0
0.00117,1
0.00281,0
0.00282,1
0.00286,0
0.00287,1
0.00291,0
0.00292,1
0.00296,0
0.00297,1
0.00301,0
0.00302,1
0.00303,0
0.00304,1
0.00306,0
0.00307,1
0.00308,0
0.00309,1
0.00311,0
0.00312,1
0.00313,0
0.00314,1
0.00316,0
0.00317,1
0.00318,0
0.00319,1
0.00321,0
0.00322,1
0.00323,0
0.00324,1
0.00326,0
0.00327,1
0.00328,0
0.00329,1
0.00384,0
0.00385,1
0.00386,0
0.00387,1
0.00389,0
0.0039,1
0.00391,0
0.00392,1
0.00394,0
0.00395,1
0.00396,0
0.00397,1
0.00399,0
0.004,1
0.00401,0
0.00402,1
0.00404,0
0.00405,1
0.00406,0
0.00407,1
0.00409,0
0.0041,1
0.00411,0
0.00412,1
0.00414,0
0.00415,1
0.00416,0
0.00417,1
0.00419,0
0.0042,1
0.00421,0
0.00422,1
0.00424,0
0.00425,1
0.00426,0
0.00427,1
0.00429,0
0.0043,1
0.00431,0
0.00432,1
0.00434,0
0.00435,1
0.00596,0
0.00597,1
0.00598,0
0.00599,1
0.00601,0
0.00602,1
0.00603,0
0.00604,1
0.00606,0
0.00607,1
0.00608,0
0.00609,1
0.00611,0
0.00612,1
0.00613,0
0.00614,1
0.00616,0
0.00617,1
0.00618,0
0.00619,1
0.00621,0
0.00622,1
0.00623,0
0.00624,1
0.00626,0
0.00627,1
0.00628,0
0.00629,1
0.00631,0
0.00632,1
0.00633,0
0.00634,1
0.00636,0
0.00637,1
0.00638,0
0.00639,1
0.00641,0
0.00642,1
0.00643,0
0.00644,1
0.00646,0
0.00647,1
0.00701,0
0.00702,1
0.00704,0
0.00705,1
0.00706,0
0.00707,1
0.00709,0
0.0071,1
0.00711,0
0.00712,1
0.00714,0
