Circuit: * C:\Users\wesle\Desktop\projetos\joule_thief\joule_thief_V2.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.00689819 ++++++++++++++++++++++++to 0.0068982
Heightened Def Con from 0.0068982 ++++++++++++++++++++++++to 0.0068982
Heightened Def Con from 0.0068982 ++++++++++++++++++++++++to 0.0068982
Heightened Def Con from 0.0068982 ++++++++++++++++++++++++to 0.0068982
Heightened Def Con from 0.0068982 ++++++++++++++++++++++++to 0.0068982
Heightened Def Con from 0.0068982 ++++++++++++++++++++++++to 0.0068982
Heightened Def Con from 0.00689821 ++++++++++++++++++++++++to 0.00689821
Heightened Def Con from 0.00689821 ++++++++++++++++++++++++to 0.00689821
Heightened Def Con from 0.00689821 ++++++++++++++++++++++++to 0.00689821
Heightened Def Con from 0.00689821 ++++++++++++++++++++++++to 0.00689821
Heightened Def Con from 0.00689821 ++++++++++++++++++++++++to 0.00689821
Heightened Def Con from 0.00689822 ++++++++++++++++++++++++to 0.00689822
Heightened Def Con from 0.00689822 ++++++++++++++++++++++++to 0.00689822
Heightened Def Con from 0.00689822 ++++++++++++++++++++++++to 0.00689822
Heightened Def Con from 0.00689822 ++++++++++++++++++++++++to 0.00689822
Heightened Def Con from 0.00689822 ++++++++++++++++++++++++to 0.00689822
Heightened Def Con from 0.00689823 ++++++++++++++++++++++++to 0.00689823
Heightened Def Con from 0.00689823 ++++++++++++++++++++++++to 0.00689823
Heightened Def Con from 0.00689823 ++++++++++++++++++++++++to 0.00689823
Heightened Def Con from 0.00689823 ++++++++++++++++++++++++to 0.00689823
Heightened Def Con from 0.00689823 ++++++++++++++++++++++++to 0.00689823
Heightened Def Con from 0.00689823 ++++++++++++++++++++++++to 0.00689824
Heightened Def Con from 0.00689824 ++++++++++++++++++++++++to 0.00689824
Heightened Def Con from 0.00689824 ++++++++++++++++++++++++to 0.00689824
Heightened Def Con from 0.00689824 ++++++++++++++++++++++++to 0.00689824
Heightened Def Con from 0.00689824 ++++++++++++++++++++++++to 0.00689824
Heightened Def Con from 0.00689824 ++++++++++++++++++++++++to 0.00689825
Heightened Def Con from 0.00689825 ++++++++++++++++++++++++to 0.00689825
Heightened Def Con from 0.00689825 ++++++++++++++++++++++++to 0.00689825
Heightened Def Con from 0.00689825 ++++++++++++++++++++++++to 0.00689825
Heightened Def Con from 0.00689825 ++++++++++++++++++++++++to 0.00689825
Heightened Def Con from 0.00689825 ++++++++++++++++++++++++to 0.00689825
Heightened Def Con from 0.00689826 ++++++++++++++++++++++++to 0.00689826
Heightened Def Con from 0.00689826 ++++++++++++++++++++++++to 0.00689826
Heightened Def Con from 0.00689826 ++++++++++++++++++++++++to 0.00689826
Heightened Def Con from 0.00689826 ++++++++++++++++++++++++to 0.00689826
Heightened Def Con from 0.00689826 ++++++++++++++++++++++++to 0.00689826
Heightened Def Con from 0.00689827 ++++++++++++++++++++++++to 0.00689827
Heightened Def Con from 0.00689827 ++++++++++++++++++++++++to 0.00689827
Heightened Def Con from 0.00689827 ++++++++++++++++++++++++to 0.00689827
Heightened Def Con from 0.00689827 ++++++++++++++++++++++++to 0.00689827
Heightened Def Con from 0.00689827 ++++++++++++++++++++++++to 0.00689827
Heightened Def Con from 0.00689828 ++++++++++++++++++++++++to 0.00689828
Heightened Def Con from 0.00689828 ++++++++++++++++++++++++to 0.00689828
Heightened Def Con from 0.00689828 ++++++++++++++++++++++++to 0.00689828
Heightened Def Con from 0.00689828 ++++++++++++++++++++++++to 0.00689828
Heightened Def Con from 0.00689828 ++++++++++++++++++++++++to 0.00689828
Heightened Def Con from 0.00689828 ++++++++++++++++++++++++to 0.00689829
Heightened Def Con from 0.00689829 ++++++++++++++++++++++++to 0.00689829
Heightened Def Con from 0.00689829 ++++++++++++++++++++++++to 0.00689829
Heightened Def Con from 0.00689829 ++++++++++++++++++++++++to 0.00689829
Heightened Def Con from 0.00689829 ++++++++++++++++++++++++to 0.00689829
Heightened Def Con from 0.00689829 ++++++++++++++++++++++++to 0.0068983
Heightened Def Con from 0.0068983 ++++++++++++++++++++++++to 0.0068983
Heightened Def Con from 0.0068983 ++++++++++++++++++++++++to 0.0068983
Heightened Def Con from 0.0068983 ++++++++++++++++++++++++to 0.0068983
Heightened Def Con from 0.0068983 ++++++++++++++++++++++++to 0.0068983
Heightened Def Con from 0.0068983 ++++++++++++++++++++++++to 0.00689831
Heightened Def Con from 0.00689831 ++++++++++++++++++++++++to 0.00689831
Heightened Def Con from 0.00689831 ++++++++++++++++++++++++to 0.00689831
Heightened Def Con from 0.00689831 ++++++++++++++++++++++++to 0.00689831
Heightened Def Con from 0.00689831 ++++++++++++++++++++++++to 0.00689831
Heightened Def Con from 0.00689831 ++++++++++++++++++++++++to 0.00689831
Heightened Def Con from 0.00689832 ++++++++++++++++++++++++to 0.00689832
Heightened Def Con from 0.00689832 ++++++++++++++++++++++++to 0.00689832
Heightened Def Con from 0.00689832 ++++++++++++++++++++++++to 0.00689832
Heightened Def Con from 0.00689832 ++++++++++++++++++++++++to 0.00689832
Heightened Def Con from 0.00689832 ++++++++++++++++++++++++to 0.00689832
Heightened Def Con from 0.00689833 ++++++++++++++++++++++++to 0.00689833
Heightened Def Con from 0.00689833 ++++++++++++++++++++++++to 0.00689833
Heightened Def Con from 0.00689833 ++++++++++++++++++++++++to 0.00689833
Heightened Def Con from 0.00689833 ++++++++++++++++++++++++to 0.00689833
Heightened Def Con from 0.00689833 ++++++++++++++++++++++++to 0.00689833
Heightened Def Con from 0.00689833 ++++++++++++++++++++++++to 0.00689834
Heightened Def Con from 0.00689834 ++++++++++++++++++++++++to 0.00689834
Heightened Def Con from 0.00689834 ++++++++++++++++++++++++to 0.00689834
Heightened Def Con from 0.00689834 ++++++++++++++++++++++++to 0.00689834
Heightened Def Con from 0.00689834 ++++++++++++++++++++++++to 0.00689834
Heightened Def Con from 0.00689834 ++++++++++++++++++++++++to 0.00689835
Heightened Def Con from 0.00689835 ++++++++++++++++++++++++to 0.00689835
Heightened Def Con from 0.00689835 ++++++++++++++++++++++++to 0.00689835
Heightened Def Con from 0.00689835 ++++++++++++++++++++++++to 0.00689835
Heightened Def Con from 0.00689835 ++++++++++++++++++++++++to 0.00689835
Heightened Def Con from 0.00689835 ++++++++++++++++++++++++to 0.00689836
Heightened Def Con from 0.00689836 ++++++++++++++++++++++++to 0.00689836
Heightened Def Con from 0.00689836 ++++++++++++++++++++++++to 0.00689836
Heightened Def Con from 0.00689836 ++++++++++++++++++++++++to 0.00689836
Heightened Def Con from 0.00689836 ++++++++++++++++++++++++to 0.00689836
Heightened Def Con from 0.00689836 ++++++++++++++++++++++++to 0.00689836
Heightened Def Con from 0.00689837 ++++++++++++++++++++++++to 0.00689837
Heightened Def Con from 0.00689837 ++++++++++++++++++++++++to 0.00689837
Heightened Def Con from 0.00689837 ++++++++++++++++++++++++to 0.00689837
Heightened Def Con from 0.00689837 ++++++++++++++++++++++++to 0.00689837
Heightened Def Con from 0.00689837 ++++++++++++++++++++++++to 0.00689837
Heightened Def Con from 0.00689838 ++++++++++++++++++++++++to 0.00689838
Heightened Def Con from 0.00689838 ++++++++++++++++++++++++to 0.00689838
Heightened Def Con from 0.00689838 ++++++++++++++++++++++++to 0.00689838
Heightened Def Con from 0.00689838 ++++++++++++++++++++++++to 0.00689838
Heightened Def Con from 0.00689838 ++++++++++++++++++++++++to 0.00689838
Heightened Def Con from 0.00689838 ++++++++++++++++++++++++to 0.00689839
Heightened Def Con from 0.00689839 ++++++++++++++++++++++++to 0.00689839
Heightened Def Con from 0.00689839 ++++++++++++++++++++++++to 0.00689839
Heightened Def Con from 0.00689839 ++++++++++++++++++++++++to 0.00689839
Heightened Def Con from 0.00689839 ++++++++++++++++++++++++to 0.00689839
Heightened Def Con from 0.00689839 ++++++++++++++++++++++++to 0.0068984
Heightened Def Con from 0.0068984 ++++++++++++++++++++++++to 0.0068984
Heightened Def Con from 0.0068984 ++++++++++++++++++++++++to 0.0068984
Heightened Def Con from 0.0068984 ++++++++++++++++++++++++to 0.0068984
Heightened Def Con from 0.0068984 ++++++++++++++++++++++++to 0.0068984
Heightened Def Con from 0.0068984 ++++++++++++++++++++++++to 0.00689841
Heightened Def Con from 0.00689841 ++++++++++++++++++++++++to 0.00689841
Heightened Def Con from 0.00689841 ++++++++++++++++++++++++to 0.00689841
Heightened Def Con from 0.00689841 ++++++++++++++++++++++++to 0.00689841
Heightened Def Con from 0.00689841 ++++++++++++++++++++++++to 0.00689841
Heightened Def Con from 0.00689841 ++++++++++++++++++++++++to 0.00689841
Heightened Def Con from 0.00689842 ++++++++++++++++++++++++to 0.00689842
Heightened Def Con from 0.00689842 ++++++++++++++++++++++++to 0.00689842
Heightened Def Con from 0.00689842 ++++++++++++++++++++++++to 0.00689842
Heightened Def Con from 0.00689842 ++++++++++++++++++++++++to 0.00689842
Heightened Def Con from 0.00689842 ++++++++++++++++++++++++to 0.00689842
Heightened Def Con from 0.00689843 ++++++++++++++++++++++++to 0.00689843
Heightened Def Con from 0.00689843 ++++++++++++++++++++++++to 0.00689843
Heightened Def Con from 0.00689843 ++++++++++++++++++++++++to 0.00689843
